'eventId','timestamp','srcIp','srcName','dstIp','dstName','srcPort','dstPort','sigName','sigId','status_type','status_value',
'6567504096563814','1557260267.626','10.24.219.2','','10.25.5.103','','56057','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (Generic Flags)','1:2025992','0','0',
'6567504096563795','1557260236.943','10.24.219.2','','10.25.5.93','','52530','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (Generic Flags)','1:2025992','0','0',
'6567504096563796','1557260236.943','10.24.219.2','','10.25.5.93','','52530','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (MSF style)','1:2025649','0','0',
'6567504096563777','1557260184.506','10.24.219.2','','10.25.5.76','','62864','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (MSF style)','1:2025649','0','0',
'6567504096563778','1557260184.506','10.24.219.2','','10.25.5.76','','62864','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (Generic Flags)','1:2025992','0','0',
'6567504096563771','1557260149.931','10.24.219.2','','10.25.5.73','','58940','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (Generic Flags)','1:2025992','0','0',
'6567504096563772','1557260149.931','10.24.219.2','','10.25.5.73','','58940','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (MSF style)','1:2025649','0','0',
'6567504096563768','1557260116.524','10.24.219.2','','10.25.5.65','','55153','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (MSF style)','1:2025649','0','0',
'6567504096563769','1557260116.524','10.24.219.2','','10.25.5.65','','55153','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (Generic Flags)','1:2025992','0','0',
'6567504096563755','1557260083.178','10.24.219.2','','10.25.5.57','','51386','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (Generic Flags)','1:2025992','0','0',
'6567504096563756','1557260083.178','10.24.219.2','','10.25.5.57','','51386','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (MSF style)','1:2025649','0','0',
'6567504096563723','1557260051.159','10.24.219.2','','10.25.5.50','','64119','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (MSF style)','1:2025649','0','0',
'6567504096563724','1557260051.159','10.24.219.2','','10.25.5.50','','64119','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (Generic Flags)','1:2025992','0','0',
'6567504096563703','1557260019.096','10.24.219.2','','10.25.5.41','','60466','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (MSF style)','1:2025649','0','0',
'6567504096563705','1557260019.096','10.24.219.2','','10.25.5.41','','60466','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (Generic Flags)','1:2025992','0','0',
'6567504096563697','1557259988.969','10.24.219.2','','10.25.5.30','','57058','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (Generic Flags)','1:2025992','0','0',
'6567504096563698','1557259988.969','10.24.219.2','','10.25.5.30','','57058','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (MSF style)','1:2025649','0','0',
'6567504096563673','1557259955.527','10.24.219.2','','10.25.5.19','','53261','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (Generic Flags)','1:2025992','0','0',
'6567504096563675','1557259955.527','10.24.219.2','','10.25.5.19','','53261','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (MSF style)','1:2025649','0','0',
'6567504096563669','1557259912.146','10.24.219.2','','10.25.5.3','','64699','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (MSF style)','1:2025649','0','0',
'6567504096563670','1557259912.146','10.24.219.2','','10.25.5.3','','64699','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (Generic Flags)','1:2025992','0','0',
'6567504096563600','1557259676.16','10.24.219.2','','10.25.7.65','','54111','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (Generic Flags)','1:2025992','0','0',
'6567504096563601','1557259676.16','10.24.219.2','','10.25.7.65','','54111','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (MSF style)','1:2025649','0','0',
'6567504096563596','1557259621.855','10.24.219.2','','10.25.7.49','','64321','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (MSF style)','1:2025649','0','0',
'6567504096563597','1557259621.855','10.24.219.2','','10.25.7.49','','64321','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (Generic Flags)','1:2025992','0','0',
'6567504096563583','1557259585.351','10.24.219.2','','10.25.7.40','','60163','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (Generic Flags)','1:2025992','0','0',
