'eventId','timestamp','srcIp','srcName','dstIp','dstName','srcPort','dstPort','sigName','sigId','status_type','status_value',
'6567504096572687','1557301604.664','10.199.84.50','','10.46.13.20','','62142','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (Generic Flags)','1:2025992','4','4',
'6567504096572677','1557301567.61','10.199.84.50','','10.46.13.7','','57830','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (Generic Flags)','1:2025992','4','4',
'6567504096572678','1557301567.61','10.199.84.50','','10.46.13.7','','57830','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (MSF style)','1:2025649','4','4',
'6567504096572520','1557301364.506','10.199.84.50','','10.46.13.6','','50452','445','ET EXPLOIT ETERNALBLUE Exploit M2 MS17-010','1:2024297','4','4',
'6567504096572518','1557301364.45','10.46.13.6','','10.199.84.50','','445','50452','ET EXPLOIT Possible ETERNALBLUE MS17-010 Echo Response','1:2024218','4','4',
'6567504096572519','1557301362.186','10.46.13.6','','10.199.84.50','','445','50452','ET EXPLOIT Possible ETERNALBLUE MS17-010 Echo Response','1:2024218','4','4',
'6567504096572515','1557301353.661','10.46.13.6','','10.199.84.50','','445','49727','ET EXPLOIT ETERNALBLUE Probe Vulnerable System Response MS17-010','1:2025650','4','4',
'6567504096572512','1557301350.254','10.199.84.50','','10.46.13.5','','49320','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (MSF style)','1:2025649','4','4',
'6567504096572513','1557301350.254','10.199.84.50','','10.46.13.5','','49320','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (Generic Flags)','1:2025992','4','4',
'6567504096570013','1557294797.362','10.24.24.15','','10.32.228.247','','58622','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (Generic Flags)','1:2025992','0','0',
'6567504096570014','1557294797.362','10.24.24.15','','10.32.228.247','','58622','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (MSF style)','1:2025649','0','0',
