#trxnhash,trxntype,received_datetime,confirmed_datetime,sending_address,receiving_address,BTC,EUR,USD,count,family
29747446f245534f976db5d0baeba45ed795f2fb9553acd87d34b8c86d9f60c4,incoming,2022-01-27 11:01:32+00:00,2022-01-27 11:01:32+00:00,['bc1q3l2p34g4hnnch3wvrps6rm2r3y0fx6lkwjv9ly'],"['bc1qzva0w2w5r8ws2ewk94van76uwwp47mvl7k9nre', 'bc1qyj7vx8975meluayvkmlew5ha7lcdkksaq62zjz', '1NWjsc3nmc24egpGXTr4RhvYGU7y5GVoZc', '3Cbp7AgGcHJP7MNohSjMPxSH6v6jdZ5YM7', 'bc1qrzttp9lgyneg4t0fcgk5tgs2xnjzk97m5amydh', 'bc1qutmckljx30gxhrdagfw3r644rkm6kztgm39eaj', 'bc1q0uzkcthrk3ysg6w5s50xwx5m23yua8eszucnq4', 'bc1q6em03glpqndnqu2edqamgg0v7xhzxpxna4ar3p', 'bc1q3l2p34g4hnnch3wvrps6rm2r3y0fx6lkwjv9ly']",0.02999,1000.92,1115.32,1,DeadBolt
316cc008e9c068a95f8d4cbfe207d8672ee3e921ae2bf0d0feb6aa6159d0aa34,incoming,2022-10-13 17:01:30.679000+00:00,2022-10-13 17:09:42+00:00,['bc1qh6pku7gg2d6pw87z3t4f6d4rk6c48ajvsmfjjl'],"['bc1qh6pku7gg2d6pw87z3t4f6d4rk6c48ajvsmfjjl', 'bc1qwuz6vvd5ardm3gklszs34m7ud07kgmzsalwsht']",5.46e-05,1.08,1.06,1,DeadBolt
e0cd1900190315427fbf1752b892c62179ccd1577faa4b1bb55ac458310e35bf,incoming,2022-10-13 17:13:37.679000+00:00,2022-10-13 17:22:02+00:00,['bc1qh6pku7gg2d6pw87z3t4f6d4rk6c48ajvsmfjjl'],"['bc1qf8ar8qznmfch9nu4683k4m0wce9a2w4chrv7gc', 'bc1qh6pku7gg2d6pw87z3t4f6d4rk6c48ajvsmfjjl']",5.46e-05,1.08,1.06,1,DeadBolt
edaa750ab27159bdff53b5f6d4b4c27b98a6281aa4196e40f26b9441a8ff69c7,incoming,2022-03-23 20:32:43.278000+00:00,2022-03-23 20:50:45+00:00,['bc1qh6pku7gg2d6pw87z3t4f6d4rk6c48ajvsmfjjl'],"['bc1qctusw90h0a5unxy0usm0zvlhgdfwn8y66d2s3m', 'bc1qh6pku7gg2d6pw87z3t4f6d4rk6c48ajvsmfjjl']",5.46e-05,2.13,2.34,1,DeadBolt
00d76a4f5f06db7765aa81bb1986320bd39fefc7b2fbdf77118d8bdb36f23e2f,incoming,2022-02-11 19:29:22.734000+00:00,2022-02-11 19:35:10+00:00,['bc1qh6pku7gg2d6pw87z3t4f6d4rk6c48ajvsmfjjl'],"['bc1q7semrrelduxwxn7tyenpc3eqrrgwwz9vxvl44k', 'bc1qh6pku7gg2d6pw87z3t4f6d4rk6c48ajvsmfjjl']",5.46e-05,2.04,2.31,1,DeadBolt
e7e85072afdcb12f2ef100dd1021845852dad8b950e2f554b7a4c43ac32fda04,incoming,2022-02-11 19:28:42.933000+00:00,2022-02-11 19:35:10+00:00,['bc1qyjeyv4cllxj6z4e0tvlqsd05pcpr44erlkpp05'],"['bc1q7semrrelduxwxn7tyenpc3eqrrgwwz9vxvl44k', 'bc1q3n6yj8m4yx43rsnps4jjjvfxpmc88h0y35pfap']",0.03,1120.65,1271.97,1,DeadBolt
0be9fb714723d6793c5c19bc5e28a14fd26f93bc3181cd46658b11f358976d8e,incoming,2022-01-27 12:55:43+00:00,2022-01-27 12:55:43+00:00,['bc1qh6pku7gg2d6pw87z3t4f6d4rk6c48ajvsmfjjl'],"['bc1q4ctux5hd63h2r0hkf9rgah7pdg5zj6d5qclvxz', 'bc1qh6pku7gg2d6pw87z3t4f6d4rk6c48ajvsmfjjl']",5.46e-05,1.82,2.03,1,DeadBolt
fce6040c21b30d07f703e0d1eb6b191b60e519a90784c2aed22fbc8371dfe12d,incoming,2022-01-27 12:50:15+00:00,2022-01-27 12:50:15+00:00,['bc1q63f9ug2wdkdlxg57p60394p2hfwvza0u0xzgra'],"['1KNTgUTzEePozfd9kfqtLxw8UVNNPDyzGY', '3EsuqUVXiEASAaG7ynaj3nUuqJg4TtJXXp', '1Nr5MPQBY3fdtAEZyRNUGip1bEy3ZMPJ3N', 'bc1q83tk2fel8y8ssftuecr3ec7wdy4nqgfqdwh0c0q7lpxp05s83dhqzlswd5', 'bc1qagux72mpmrj3cu7dmnjva6wcpf3pmmtqxdgswz', '3FSA4VfuU8NdW9iNdnzypfDc38owMVUTKM', '32RxcDk7iHntuRrCFtKEmgdNoy8xCFA6hs', '32WmJPkD4LZKPSmfqUPtiyERxCMKUxdQXN', '33kWRmaYriEqyqT8FdGiMnVJnBB1sThRWB', '3CQAMKqNx2JYWcEjjenRdxzKXBuomrzcGk', '358Ux1kubhNsD4LRGHBi3fq8vqr3dbz2CY', '36ShZNB6vptqeZup1Zx9HbFKT2mE3881Xt', 'bc1qwe4qcm5m3uqgraqenvg33fqn985t57elljeke2', '3LMo5Zh6hV59LFAQSYsXEhF8S3cLxE7e9g', 'bc1q4m0nkau72kh2frz86xrddcnwzv8p9m3e82vrdx', '3PUnneaFcG56BSZZL4sowRpu3Bidu1QRpt', '3PD735gF78sXWUnEqieXymUMBDicK3y7Gq', '3DRxup5hbWonp3qVPXavRMwwzVegPg59zT', '1814LDDdHPik8uMFTXa5EG3VbePfWSh6Me', 'bc1q4ctux5hd63h2r0hkf9rgah7pdg5zj6d5qclvxz']",0.03,1001.25,1115.7,1,DeadBolt
148d656398d5a1836962535b2b7baca17bfdbc6e829b03928d468047a9933dee,incoming,2022-05-27 16:58:04.978000+00:00,2022-05-27 16:59:42+00:00,['bc1qh6pku7gg2d6pw87z3t4f6d4rk6c48ajvsmfjjl'],"['bc1q5p7s4tps66tj89cf9kxr7g2uguqm92cfx26435', 'bc1qh6pku7gg2d6pw87z3t4f6d4rk6c48ajvsmfjjl']",5.46e-05,1.45,1.56,1,DeadBolt
8269853d4533e7845d35e3ec789d715e9169ee0f954b10f10e8711ba5f66bf96,incoming,2022-02-01 21:43:50+00:00,2022-02-01 21:43:50+00:00,['bc1q6ccpwe9a3uyxjgdp08j83fwrd9fjkj78zyr4083gnn6hhn4rrceswc9zmk'],"['bc1qz3ee4sd86eyv3t8smzw8ktruhps4y7jgdryyks', 'bc1q8lsfnmhh3nwmhxanrmzj90de89qmjkzn05ysh4k3p606pm2ue94syyzu5g']",0.03,1031.06,1161.64,1,DeadBolt
83a6256893f4a97b7becf8f837bb524679ff9e25f8732d2b76d01700463bab00,incoming,2022-02-01 15:34:20+00:00,2022-02-01 15:34:20+00:00,['bc1qh6pku7gg2d6pw87z3t4f6d4rk6c48ajvsmfjjl'],"['bc1qh6pku7gg2d6pw87z3t4f6d4rk6c48ajvsmfjjl', 'bc1qz3ee4sd86eyv3t8smzw8ktruhps4y7jgdryyks']",5.46e-05,1.88,2.11,1,DeadBolt
2b1e28e7a913cc3eb73c352575298ceae86c71dfe5c509cce1a19c3676df2535,incoming,2022-04-04 14:33:55.804000+00:00,2022-04-04 14:48:34+00:00,['bc1qh6pku7gg2d6pw87z3t4f6d4rk6c48ajvsmfjjl'],"['bc1q7szqz2fq2dzsqg0vvc4gjn2qhlytfug75ym72v', 'bc1qh6pku7gg2d6pw87z3t4f6d4rk6c48ajvsmfjjl']",5.46e-05,2.27,2.5,1,DeadBolt
3384e1f26c9df958d8fae2ed3400d8c6378d1e5e7c478ef9ce3b45d25f74c1cc,incoming,2022-04-04 14:33:27.417000+00:00,2022-04-04 14:48:34+00:00,['37uM83U4tXfm5oz18o7LBJeT2PBKbLbtKk'],"['3K5NzsMidNdNmvcgeSZodjMNX9wcMD4L3k', '34yRn2hRmbtHWUzX7eNRbZtSah4zmgYXaj', '3P5xnkaCAtjzFjuCMEVYXNAVbhzAHifV9Q', '3AvJmzQttkCHHchfTE7JtQLd1iuKoUkrST', 'bc1qt0kaz9jyqdekgy6z782vgsv3gejq5n0qhnchr4', '3BCEdigdqpfmYSCv5ZbeCVUgeEcS1hiahc', 'bc1qmnesr2zls7ghfzcen5g7xj64wvkn46pgcysazj', 'bc1q9etqfxrx65nluvtw7szyy6a2nptm262m9wwx3c', 'bc1q7szqz2fq2dzsqg0vvc4gjn2qhlytfug75ym72v', '39LXbMys4MTGvMQZ6G3nikn25gXVyWCHZW', '17bYY8yrgatmcF2hwmwr6gvbaR85d4M5G5', 'bc1q9tfan965g76n5qszruj80gnnftq6rn3qkhtama', 'bc1q8d0hvy8j79mgjk9eh24c53jaelugsw7l3tdzel', 'bc1qf0kwshgn43jfklzl2sggxfm2xjmrlxurw8cs8v', 'bc1qxrk9rs9xeahek8vnz9qnsq7zzz450vddr4y9ln', '3QPhjKxpGwm9dgJKapbsyhgFD3ayjTMa75', 'bc1qs3yaa7stleyd4jq69p5perxqckdxge33lqrt4h', '3HnxbFQDdT15F73LLRZmFwqZzvwEBakjW4', 'bc1qyndxtywj74wgvt57ds3gdx4w4qwjx5e57rgcsjpxefculyrayuaql9frv8', '37rZbkCSiXZZutaeVE2i3P9Ag3zYd6uA9U']",0.03,1245.93,1371.21,1,DeadBolt
ec7bd727675645ee9137719f71aed35bee3a5c54648034ac75be8ac26c04b223,incoming,2022-01-27 04:55:28+00:00,2022-01-27 04:55:28+00:00,['bc1qh6pku7gg2d6pw87z3t4f6d4rk6c48ajvsmfjjl'],"['bc1qea8n9pr6z32ay9eklg5v88lf4az6zlw8hmtzly', 'bc1qh6pku7gg2d6pw87z3t4f6d4rk6c48ajvsmfjjl']",5.46e-05,1.82,2.03,1,DeadBolt
18a7e4276cca033fff8c2a8eb9c99597674c3341afdef1a682a8e8a0e807df16,incoming,2022-01-27 04:55:28+00:00,2022-01-27 04:55:28+00:00,['bc1q46944g6czv32ey3kyjwzz88krv6mv8rpqxcswg'],"['3FnULyMm3YQdz6JoDxcMVSyypAzFfnL1ty', '1ChvPP7YDn1yvLUpEcApFTrGqGXFZAMdmc', '3BP9BnVjaV6v9o9Z9b7Kh57i5mZ4K3cZ1Y', '32iBP5R4LHdnLmvdKsfVDkS1VCPGreN5Wu', '1NHVCvMnebKaTYZtACmTk2qxHdnfd73jRn', '1NHVCvMnebKaTYZtACmTk2qxHdnfd73jRn', '1NHVCvMnebKaTYZtACmTk2qxHdnfd73jRn', '34USxdKeMTGRxGrb2ZgKuycjepDWUTsato', '1Go7j2JQ3ru5y95J6aLYM8gc2c7WkrhgEa', '1NHVCvMnebKaTYZtACmTk2qxHdnfd73jRn', 'bc1qwafl82g0jqdxwczrkwfa9hy2jswr9t49ap6l20', '3NwTp6c6wB6EmvQ1DQthnYA8nugr3mamXK', '3JUaZCMPmSLJiWWYeigQPQ5m3JiitqxWF7', '1NHVCvMnebKaTYZtACmTk2qxHdnfd73jRn', '32ucqRwnmTGE8MwDQfWUQLZLJuYBdMBUCZ', '1NHVCvMnebKaTYZtACmTk2qxHdnfd73jRn', '1NHVCvMnebKaTYZtACmTk2qxHdnfd73jRn', 'bc1qea8n9pr6z32ay9eklg5v88lf4az6zlw8hmtzly', '14e74pyvMS7hzEt99UNChKkhV8YbP6s6wR', 'bc1q9v9sxrtk6g4zrsekvpxf2hchaqm0gnmwvs3kku']",0.03,1001.25,1115.7,1,DeadBolt
a277cdd550d9d19b6cb4c862f8defc724321e7facf4bdb7951a4425b2eea3ed5,incoming,2023-06-05 20:55:07.633000+00:00,2023-06-06 03:42:37+00:00,['bc1qh6pku7gg2d6pw87z3t4f6d4rk6c48ajvsmfjjl'],"['bc1qh6pku7gg2d6pw87z3t4f6d4rk6c48ajvsmfjjl', 'bc1qksqe8fyflnnacrzgcuemenu2k8c67u0a0m7nvp']",5.46e-05,1.39,1.49,1,DeadBolt
